Id	Prompt	Wavfile	RecResult
40295	Sag: Ich habe keine Reservation	40295.wav	no i don't have a reservation
40296	Frag: Junior Suite	40296.wav	i would like a junior suite
40297	Sag: Ich möchte mit Kreditkarte bezahlen	40297.wav	i would like to pay with credit card
40298	Sag: Ich möchte mit Schweizer Franken bezahlen	40298.wav	can i pay with swiss francs
40300	Frag: Twinzimmer	40300.wav	a twin room please
40301	Frag: Wo ist das Schwimmbad?	40301.wav	where is the swimming pool
40303	Frag: ein Ticket für Mamma Mia	40303.wav	i want a ticket for mamma mia please
40304	Sag: Ich habe keine Reservation	40304.wav	no i don't have a reservation
40305	Frag: Zimmer für 4 Nächte	40305.wav	i would like to stay for four nights single room please
40306	Sag: Ich möchte mit Mastercard bezahlen	40306.wav	i would like to pay with mastercard
40308	Sag: Ich möchte mit Postkarte bezahlen	40308.wav	i would like pay with post card
40310	Sag: Ich möchte mit Visa bezahlen	40310.wav	i would like to pay with visa
40311	Sag: Italien ist nicht in Afrika	40311.wav	italy is not in africa
40312	Sag: Die Hauptstadt von Italien ist Rom	40312.wav	the capital from italy is rome
40313	Frag: 4 Tickets nach London	40313.wav	i want to buy four tickets to london
40315	Sag: Ich möchte um 14 Uhr morgen abreisen	40315.wav	i would like to leave at two pm
40316	Sag: Ich heisse Sarah	40316.wav	my name is for row
40318	Sag: Ich habe keine Reservation	40318.wav	steak pay
40320	Sag: Ich habe keine Reservation	40320.wav	no i don't have a reservation
40322	Frag: Zimmer für 1 Woche	40322.wav	i want a room for one week
40323	Frag: Doppelzimmer	40323.wav	i would like a double room
40326	Sag: Ich möchte mit Schweizer Franken bezahlen	40326.wav	can i pay with swiss francs
40327	Frag: Wo ist das Fitnessstudio?	40327.wav	where is the gym
40329	Sag: Ich bin aus Kanada	40329.wav	i'm from canada
40331	Frag: ein Ticket zum Green Park	40331.wav	i need a ticket to green park
40333	Frag: Wo ist das London Eye?	40333.wav	the tower
40335	Sag: Es ist nahe der Bank of England	40335.wav	this is near the bank of england
40336	Frag: Wo ist die National Gallery?	40336.wav	where dollars
40338	Frag: Wo ist Madame Tussauds?	40338.wav	where is the elevator
40339	Sag: Saint Pauls Cathedral ist nahe der Bank of England	40339.wav	small
40340	Sag: Saint Pauls Cathedral ist nahe der Bank of England	40340.wav	saint pauls cathedral is lisbon
40341	Sag: Mir geht es gut	40341.wav	osborne
40342	Frag: Stiefel	40342.wav	i would like some boots
40343	Frag: Stiefel	40343.wav	i would like a double room
40344	Frag: blaue Stiefel	40344.wav	i want a room for
40345	Frag: blaue Stiefel	40345.wav	double room
40346	Frag: Grösse 39	40346.wav	thursday night
40347	Frag: ein Sweatshirt	40347.wav	i would like a sweatshirt
40349	Frag: ein grünes Sweatshirt	40349.wav	i would like a green sweatshirt
40351	Frag: Wie viel kostet das Sweatshirt?	40351.wav	how much is this sweatshirt
40354	Frag: Zimmer für 6 Nächte	40354.wav	a room for six nights
40355	Frag: Einzelzimmer	40355.wav	a single room please
40356	Sag: Ich möchte mit Visa bezahlen	40356.wav	i want to pay with visa
40359	Frag: Gibt es ein Hotelrestaurant?	40359.wav	i will have a hotel restaurant
40360	Frag: Gibt es ein Hotelrestaurant?	40360.wav	is there a hotel restaurant
40362	Frag: ein Ticket zum Trafalgar Square	40362.wav	swimming pool
40365	Sag: Ich möchte mit Kreditkarte bezahlen	40365.wav	i would like to pay with my credit card
40366	Frag: Gibt es ein Hotelrestaurant?	40366.wav	is there a hotel restaurant
40367	Frag: Zimmer für 5 Nächte	40367.wav	i would like tuesday five nights single room
40368	Frag: Suite	40368.wav	a suite
40369	Frag: Suite	40369.wav	i would like to have a suite
40374	Frag: Junior Suite	40374.wav	i would like a junior suite
40375	Frag: Gibt es einen Lebensmittelladen?	40375.wav	is there a grocery store
40377	Sag: Ich bin aus Deutschland	40377.wav	i'm from germany
40378	Sag: Ich heisse Patrick	40378.wav	my name is patrick
40382	Sag: Ich gehe in die Ferien	40382.wav	i am going on holidays
40384	Frag: ein Ticket nach Notting Hill	40384.wav	i would like a ticket to notting hill
40386	Frag: 3 Musical-Tickets	40386.wav	i would like two three musical tickets
40387	Sag: Ich möchte am Donnerstagabend gehen	40387.wav	i would like to go at thursday evening
40388	Sag: Ich möchte am Donnerstagabend gehen	40388.wav	i want lisbon
40389	Sag: Ich möchte in der vierten Reihe sitzen	40389.wav	i would like to sit in the fourth row
40390	Frag: ein Wasser ohne Kohlensäure	40390.wav	i would like a still water
40391	Frag: mein Steak durchgebraten	40391.wav	i would like my steak well done
40393	Frag: Ich möchte die Dessertkarte	40393.wav	card i can see the dessert menu
40394	Frag: Wo ist Big Ben?	40394.wav	where is the big ben
40396	Sag: Mir geht es gut	40396.wav	i am good
40397	Frag: weisse Stiefel	40397.wav	i would like white boots
40398	Frag: Grösse 38	40398.wav	thirty-eight
40401	Frag: Wie viel kostet es?	40401.wav	how much does it cost
40402	Sag: Die Jeans ist zu teuer	40402.wav	the jeans is too expensive
40404	Frag: Gibt es ein Fitnessstudio?	40404.wav	is there a gym
40406	Frag: Einzelzimmer	40406.wav	i would like a single room
40408	Frag: Zimmer für 7 Nächte	40408.wav	i would like a room for seven nights
40409	Sag: Ich möchte mit Kreditkarte bezahlen	40409.wav	i want to pay with credit card
40410	Frag: Wo ist das Fitnessstudio?	40410.wav	where is the gym
40411	Sag: Ich möchte um 15 Uhr morgen abreisen	40411.wav	i would like to leave at fifteen o'clock
40412	Sag: Ich heisse Sarah	40412.wav	my name is sarah
40413	Frag: ein Ticket nach London	40413.wav	i would like a ticket to london
40414	Sag: Ich möchte um 13 Uhr morgen abreisen	40414.wav	i would like to leave tomorrow at one p m
40417	Sag: Ich möchte um 16 Uhr morgen abreisen	40417.wav	i would like to leave tomorrow at four o'clock p m
40419	Sag: Ich bin aus Deutschland	40419.wav	i'm from germany
40421	Sag: Ich habe einen älteren Bruder	40421.wav	i have one older brothers
40423	Frag: Zimmer für 3 Nächte	40423.wav	can i have a room for three nights please
40425	Sag: Ich möchte mit Mastercard bezahlen	40425.wav	i would like to pay with mastercard
40426	Frag: Gibt es ein Hotelrestaurant?	40426.wav	is there a hotel restaurant
40427	Frag: Zimmer für 7 Nächte	40427.wav	can i have a room for seven nights
40428	Sag: Ich möchte mit Visa bezahlen	40428.wav	i want to pay with visa
40429	Frag: Gibt es eine Hotelbar?	40429.wav	is there a hotel bar
40430	Frag: ein Ticket nach London	40430.wav	can i have a ticket to london
40433	Sag: Ich möchte am Sonntag abreisen	40433.wav	i want to leave on sunday
40434	Sag: Ich bin aus Portugal	40434.wav	i come from portugal
40435	Sag: Ich heisse Silvia	40435.wav	my name is silvia
40436	Sag: Die Hauptstadt von Spanien ist Madrid	40436.wav	the capital city of spain is madrid the capital city of spain is madrid
40438	Sag: Ich habe 3 Brüder	40438.wav	i have three brothers
40445	Frag: 4 Musical-Tickets	40445.wav	can i have four musical tickets
40446	Frag: 4 Musical-Tickets	40446.wav	i would like to buy four musical tickets
40447	Sag: Ich möchte am Freitagabend gehen	40447.wav	i would like to go on friday night
40448	Frag: 4 Tickets für das Phantom der Oper	40448.wav	i want four tickets for the phantom of the opera
40449	Sag: Ich möchte vorne sitzen	40449.wav	i would like to sit in the eighth row
40450	Sag: Ich möchte vorne sitzen	40450.wav	i would like to sit in the fifth row
40451	Frag: Tickets für das British Museum	40451.wav	can i have tickets for the british museum
40453	Frag: eine Cola	40453.wav	i would like a coke
40457	Frag: Ich möchte die Dessertkarte	40457.wav	could i see the dessert menu
40459	Frag: Welcher Bus fährt dorthin?	40459.wav	which bus goes there
40460	Sag: Mir geht es gut	40460.wav	i am boots
40462	Frag: weisse Stiefel	40462.wav	i would like white boots
40464	Frag: Grösse 40	40464.wav	i am a forty
40465	Frag: ein Sweatshirt	40465.wav	i would like a sweatshirt
40467	Frag: eine L	40467.wav	i need a large
40469	Frag: Wie viel kostet es?	40469.wav	how much does it cost
40477	Frag: Wo ist Piccadilly Circus?	40477.wav	holiday miscarriages to piccadilly circus
40478	Sag: Saint Pauls Cathedral ist nahe der Bank of England	40478.wav	saint pauls cathedral is near the bank of england
40481	Sag: Es ist nahe der Bank of England	40481.wav	this is near the bank of england
40482	Frag: Wo ist die National Gallery?	40482.wav	where is the national gallery
40485	Frag: Welcher Bus fährt dorthin?	40485.wav	which bus goes there
40486	Frag: Wo ist das Naturhistorische Museum?	40486.wav	where is the natural history museum
40488	Sag: Marble Arch ist gegenüber dem Hyde Park	40488.wav	marble arch is to hyde park
40489	Sag: Marble Arch ist gegenüber dem Hyde Park	40489.wav	arch is to hyde park
40490	Frag: Wo ist das British Museum?	40490.wav	where is the british museum
40491	Frag: Wo ist die Oxford Street?	40491.wav	where is a forty-three
40492	Frag: Wo ist die Oxford Street?	40492.wav	where is a forty-three
40494	Frag: Zimmer für 2 Nächte	40494.wav	i want a room for two nights
40496	Frag: Gibt es eine Hotelbar?	40496.wav	is there a hotel bar
40497	Frag: Zimmer für 7 Nächte	40497.wav	i would like to stay for seven nights please
40498	Sag: Ich möchte mit Kreditkarte bezahlen	40498.wav	can i pay with credit card
40499	Sag: Ich möchte mit Dollars bezahlen	40499.wav	can i pay with dollars
40501	Sag: Ich möchte mit Kreditkarte bezahlen	40501.wav	can i pay with credit card
40502	Frag: Gibt es einen Lift?	40502.wav	is there a lift
40503	Frag: Zimmer für 2 Nächte	40503.wav	can i have a room for two nights please
40504	Frag: Einzelzimmer	40504.wav	i would like a single room
40505	Frag: Zimmer für 3 Nächte	40505.wav	can i have a room for three nights please
40506	Frag: Einzelzimmer	40506.wav	i would like a single room
40507	Sag: Ich möchte mit Visa bezahlen	40507.wav	can i pay with visa
40509	Frag: Gibt es einen Lebensmittelladen?	40509.wav	is there a grocery
40510	Frag: Zimmer für 3 Nächte	40510.wav	can i have a room for three nights please
40511	Frag: Doppelzimmer	40511.wav	i would like a twin room
40515	Frag: Twinzimmer	40515.wav	i would like a twin room
40517	Sag: Ich möchte mit Kreditkarte bezahlen	40517.wav	can i pay with credit card
40519	Frag: Zimmer für 5 Nächte	40519.wav	can i have a room for five nights please
40520	Sag: Ich möchte mit Dollars bezahlen	40520.wav	can i pay with dollars
40527	Frag: 4 Tickets nach London	40527.wav	i would like four tickets to london
40528	Sag: Ich möchte um 12 Uhr morgen abreisen	40528.wav	i would like to leave tomorrow at blue
40530	Frag: 5 Tickets nach London	40530.wav	i would like five tickets to london
40532	Sag: Ich heisse Barbara	40532.wav	blue store
40534	Frag: ein Ticket nach London	40534.wav	i would like tickets to london
40535	Sag: Ich heisse Sarah	40535.wav	my name is sarah
40537	Frag: 2 Musical-Tickets	40537.wav	i would like two musical tickets
40539	Sag: Ich möchte in der zehnten Reihe sitzen	40539.wav	i would like to sit in the tenth row
40540	Frag: 5 Tickets	40540.wav	i want five tickets
40542	Sag: Ich möchte am Samstagabend gehen	40542.wav	i would like to go on saturday evening
40544	Frag: 4 Tickets	40544.wav	four tickets
40546	Sag: Ich möchte morgen Abend gehen	40546.wav	i would like to go tomorrow night
40548	Frag: 2 Tickets für König der Löwen	40548.wav	i want three tickets for the lion king
40549	Frag: Tickets für das Naturhistorische Museum	40549.wav	i want two tickets for the next the
40552	Frag: 2 Tickets für König der Löwen	40552.wav	i want two tickets for the lion king
40553	Sag: Ich möchte in der zehnten Reihe sitzen	40553.wav	i would like to sit in the tenth row
40555	Frag: 3 Musical-Tickets	40555.wav	i would like three musical tickets
40556	Frag: 3 Tickets für Billy Elliot	40556.wav	i would like three tickets for billy elliot
40558	Frag: 4 Musical-Tickets	40558.wav	i would like four musical tickets
40559	Frag: 4 Tickets für Billy Elliot	40559.wav	i would like four tickets for billy elliot
40560	Sag: Ich möchte in der zehnten Reihe sitzen	40560.wav	i would like to sit in the tenth row
40561	Frag: 2 Tickets	40561.wav	i would like two tickets
40564	Sag: Ich möchte vorne sitzen	40564.wav	i would like to sit in the from
40565	Frag: 3 Musical-Tickets	40565.wav	i would like three musical tickets
40566	Frag: 3 Tickets für Mamma Mia	40566.wav	i would like three tickets for mamma mia
40568	Frag: 2 Tickets	40568.wav	i want two tickets
40569	Sag: Ich möchte heute Abend gehen	40569.wav	i would like to go today evening
40570	Frag: 2 Tickets für Billy Elliot	40570.wav	i would like two tickets for billy elliot
40571	Sag: Ich möchte in der zweiten Reihe sitzen	40571.wav	i would like to sit in the second row
40572	Sag: Ich heisse Sarah	40572.wav	my name is sarah
40573	Sag: Ich bin aus Frankreich	40573.wav	i am from france
40574	Sag: Ich habe 2 jüngere Brüder	40574.wav	i have two younger brothers
40577	Frag: braune Stiefel	40577.wav	brown boots please
40579	Frag: ein grünes T-Shirt	40579.wav	i would like a green tee shirt
40580	Frag: Wie viel kostet es?	40580.wav	how much does it cost
40582	Sag: Ich möchte mit Kreditkarte bezahlen	40582.wav	i want to pay with a credit card
40583	Frag: Gibt es eine Hotelbar?	40583.wav	is there a hotel bar
40585	Frag: Einzelzimmer	40585.wav	a single room
40587	Frag: einen Tee	40587.wav	i will have forty
40589	Frag: etwas Knoblauchbrot	40589.wav	i want have o'clock tomorrow
40591	Frag: Zimmer für 6 Nächte	40591.wav	i tuesday six nights
40592	Frag: Zimmer für 6 Nächte	40592.wav	i have i want a room for a room for six nights
40593	Frag: Einzelzimmer	40593.wav	i want a twin zimmer
40599	Frag: Zimmer für 7 Nächte	40599.wav	i'm
40603	Sag: Ich möchte mit Visa bezahlen	40603.wav	i
40610	Frag: Twinzimmer	40610.wav	i'm
40612	Sag: Ich möchte mit Kreditkarte bezahlen	40612.wav	i'm
40619	Sag: Ich möchte mit Kreditkarte bezahlen	40619.wav	my
40621	Sag: Ich möchte mit Kreditkarte bezahlen	40621.wav	do
40624	Frag: ein Ticket nach London	40624.wav	a suite
40634	Sag: Ich möchte um 22 Uhr morgen abreisen	40634.wav	a
40638	Sag: Ich heisse Thomas	40638.wav	the
40641	Frag: Zimmer für 1 Woche	40641.wav	i want a room for one week please
40643	Frag: Gibt es eine Hotelbar?	40643.wav	is there a hotel bar
40644	Sag: Ich heisse Silvia	40644.wav	my name is silvia
40646	Sag: Ich habe 4 ältere Schwestern	40646.wav	i have four older sisters
40649	Frag: Stiefel	40649.wav	i want to have sandals
40650	Frag: Stiefel	40650.wav	i want to a some boots
40651	Frag: rote Stiefel	40651.wav	i want red boots
40652	Frag: rote Stiefel	40652.wav	red boots please
40656	Frag: eine L	40656.wav	large
40657	Frag: Wie viel kostet es?	40657.wav	how much is it
40658	Frag: Zimmer für 4 Nächte	40658.wav	a room for four nights
40659	Frag: Zimmer für 4 Nächte	40659.wav	thank you
40662	Sag: Ich möchte mit Euros bezahlen	40662.wav	i want to pay with euros
40664	Frag: Gibt es einen Coiffeur?	40664.wav	is there a hairdresser is near
40665	Frag: Wo ist der Coiffeur?	40665.wav	where is the hairdresser
40666	Sag: Das WC ist dreckig	40666.wav	the toilet is dirty
40667	Sag: Im Zimmer hat es kein Duschgel	40667.wav	there is no tortilla in the room
40669	Frag: Junior Suite	40669.wav	i would like a junior suite
40670	Sag: Ich möchte mit Kreditkarte bezahlen	40670.wav	i want to pay with the credit card
40673	Frag: Suite	40673.wav	a suite
40674	Sag: Ich möchte mit Mastercard bezahlen	40674.wav	i would like to pay with the credit card
40675	Frag: Gibt es ein Hotelrestaurant?	40675.wav	have it a hotel restaurant
40676	Frag: Wo ist das Hotelrestaurant?	40676.wav	where is the hotel restaurant
40679	Frag: Wo ist der Haarföhn?	40679.wav	where can can i buy a hairdryer
40682	Frag: Welcher Bus fährt dorthin?	40682.wav	which bus goes there
40687	Frag: etwas Knoblauchbrot	40687.wav	i would like some garlic bread
40690	Frag: Ich möchte die Rechnung	40690.wav	i want a steak
40692	Sag: Ich möchte mit Kreditkarte bezahlen	40692.wav	i want to pay with the credit card
40697	Sag: Ich möchte mit Kreditkarte bezahlen	40697.wav	i would like pay with the credit card
40698	Frag: Gibt es einen Lift?	40698.wav	lift
40699	Frag: Gibt es einen Lift?	40699.wav	i have a lift
40700	Frag: Zimmer für 4 Nächte	40700.wav	a room for four nights please
40703	Sag: Ich möchte mit Schweizer Franken bezahlen	40703.wav	i would like to pay with swiss francs please
40706	Frag: Suite	40706.wav	a suite please
40707	Sag: Ich möchte mit Kreditkarte bezahlen	40707.wav	i would like to pay with the credit card
40710	Frag: Gibt es ein Schwimmbad?	40710.wav	a swim bad
40711	Frag: Wo ist das Schwimmbad?	40711.wav	where is the swimming pool
40714	Sag: Im Zimmer hat es keinen Haarföhn	40714.wav	my room is haven't got a hairdresser
40718	Sag: Ich heisse Maddalena	40718.wav	i'm auckland
40719	Frag: 5 Tickets nach London	40719.wav	i need five tickets to london
40721	Sag: Ich heisse Nick	40721.wav	my name is nick
40726	Sag: Ich heisse Andy	40726.wav	my name is andy
40727	Sag: Ich bin aus Kanada	40727.wav	i'm from canada
40728	Sag: Ich möchte am Donnerstagabend abreisen	40728.wav	i want to leave at thursday evening
40730	Frag: billiges Ticket	40730.wav	could i need a cheaper ticket
40731	Frag: billiges Ticket	40731.wav	i want a cheaper ticket
40734	Sag: Ich heisse Nick	40734.wav	my name is nick
40736	Sag: Frankreich ist in Europa	40736.wav	how much is in europe
40737	Sag: Die Hauptstadt von Frankreich ist Paris	40737.wav	the capital of france is paris
40738	Sag: Ich habe 2 ältere Schwestern	40738.wav	i have two older sisters
40739	Sag: Ich gehe in die Ferien	40739.wav	i go on holiday
40740	Sag: Dies ist mein Pass	40740.wav	this is my passport
40741	Frag: 1 Musical-Ticket	40741.wav	i need one musical ticket
40742	Frag: ein Ticket für Billy Elliot	40742.wav	a ticket for billy elliot
40744	Frag: Tickets für das Science Museum	40744.wav	a ticket for the phantom isn't museum
40745	Frag: 4 Tickets	40745.wav	i need four tickets
40746	Frag: Stiefel	40746.wav	i want some boots
40747	Frag: braune Stiefel	40747.wav	i want brown boots
40748	Frag: ein T-Shirt	40748.wav	i want a tee shirt
40749	Frag: ein rotes T-Shirt	40749.wav	i want a red tee shirt
40750	Frag: eine L	40750.wav	i need a large
40752	Sag du möchtest nicht: dieses T-Shirt	40752.wav	i don't want this t-shirt
40753	Frag: ein Ticket nach Westminster	40753.wav	i need a ticket to westminster
40755	Sag: Ich möchte mit Dollars bezahlen	40755.wav	i would like to pay with dollars
40756	Frag: Zimmer für 1 Woche	40756.wav	a room for one week please
40758	Sag: Ich möchte mit Postkarte bezahlen	40758.wav	i would like to pay with post card
40759	Frag: Gibt es einen Coiffeur?	40759.wav	is there a hairdresser
40760	Frag: Zimmer für 3 Nächte	40760.wav	a room for three nights please
40761	Sag: Ich möchte mit Postkarte bezahlen	40761.wav	i would like to pay with post card
40763	Sag: Ich möchte am Dienstag abreisen	40763.wav	i would like to leave at tuesday
40765	Sag: Ich bin aus Kanada	40765.wav	junior mongol
40766	Frag: 4 Tickets nach London	40766.wav	i need four tickets to london
40767	Frag: 4 Tickets nach London	40767.wav	i want ticket to london
40768	Sag: Ich möchte um 13 Uhr morgen abreisen	40768.wav	i'd like to leave at four o'clock tomorrow
40769	Sag: Ich heisse Michelle	40769.wav	my name is michelle
40770	Sag: Ich bin aus Österreich	40770.wav	i'm from austria
40772	Frag: Stiefel	40772.wav	i'm looking for boots
40773	Frag: Stiefel	40773.wav	i would like some boots
40776	Frag: Zimmer für 2 Nächte	40776.wav	a room for two nights
40777	Frag: Twinzimmer	40777.wav	a twin room please
40778	Sag: Ich möchte mit Kreditkarte bezahlen	40778.wav	i want to pay with the credit card
40779	Sag: Ich möchte mit Kreditkarte bezahlen	40779.wav	i want to pay with the credit card
40780	Frag: Gibt es einen Lebensmittelladen?	40780.wav	a supermarket
40782	Frag: Zimmer für 3 Nächte	40782.wav	a room for three nights
40783	Sag: Ich möchte mit Visa bezahlen	40783.wav	i want pay with visa
40784	Sag: Ich möchte mit Visa bezahlen	40784.wav	i would like to pay with visa
40785	Frag: Wo ist das Schwimmbad?	40785.wav	where is the swimming pool
40786	Sag: Mein Zimmer ist dreckig	40786.wav	my room is dirty
40788	Sag: Im Zimmer hat es kein Duschgel	40788.wav	can i room it hasn't got a sunday evening
40789	Frag: den Sonntagsbraten	40789.wav	i would like the sunday roast
40791	Frag: meinen Sonntagsbraten durchgebraten	40791.wav	i would like my sunday roast well done
40797	Frag: mein Steak durchgebraten	40797.wav	i would like the steak well done
40799	Sag: Dies ist nicht was ich bestellt habe	40799.wav	this is not what i ordered
40800	Sag: Ich habe keine Reservation	40800.wav	i don't have a reservation
40803	Frag: braune Stiefel	40803.wav	i want brown boots
40804	Frag: Stiefel	40804.wav	i want boots
40806	Frag: Stiefel	40806.wav	i want boots
40807	Frag: Grösse 42	40807.wav	forty-two
40810	Sag: Ich möchte um 11 Uhr morgen abreisen	40810.wav	i would like to leave tomorrow at eleven a m
40812	Frag: Einzelzimmer	40812.wav	a room for one person
40815	Frag: Wo ist das Schwimmbad?	40815.wav	where is the swimming pool
40816	Frag: den Sonntagsbraten	40816.wav	i would like the sunday roast
40818	Frag: einen gemischten Salat	40818.wav	i would like a mixed salad
40822	Frag: Zimmer für 5 Nächte	40822.wav	i want a room for five nights
40823	Sag: Ich möchte mit Postkarte bezahlen	40823.wav	can i pay with post card
40824	Frag: Zimmer für 2 Nächte	40824.wav	i want a room for two nights
40826	Frag: Gibt es ein Fitnessstudio?	40826.wav	is there a gym
40830	Frag: Gibt es einen Lebensmittelladen?	40830.wav	is there a supermarket
40831	Frag: Gibt es einen Lebensmittelladen?	40831.wav	is there a supermarket
40833	Frag: Gibt es einen Lebensmittelladen?	40833.wav	is there a market
40834	Frag: Gibt es einen Lebensmittelladen?	40834.wav	is there a market
40836	Frag: Gibt es ein Fitnessstudio?	40836.wav	is there a gym
40838	Frag: Zimmer für 3 Nächte	40838.wav	i want a room for three nights
40839	Sag: Ich möchte mit Kreditkarte bezahlen	40839.wav	can i pay with credit card
40841	Frag: Einzelzimmer	40841.wav	i'd like a single room
40842	Frag: Einzelzimmer	40842.wav	i want a single room
40845	Frag: Zimmer für 7 Nächte	40845.wav	i want a room for seven nights
40846	Frag: Twinzimmer	40846.wav	i'd like a double room
40847	Sag: Ich möchte mit Kreditkarte bezahlen	40847.wav	i'd like to pay with the credit card
40849	Frag: Wo ist das Schwimmbad?	40849.wav	where is the swimming pool
40857	Frag: ein Wasser mit Kohlensäure	40857.wav	lisbon
40858	Frag: ein Steak	40858.wav	i want a steak
40861	Sag: Ich möchte mit Visa bezahlen	40861.wav	i want to pay with visa
40862	Sag: Ich möchte mit Visa bezahlen	40862.wav	can i pay with visa
40863	Frag: ein Steak	40863.wav	i would like carrots
40864	Frag: mein Steak blau	40864.wav	i'd like my steak blue
40865	Frag: Ich möchte die Dessertkarte	40865.wav	could i see the dessert menu
40866	Frag: Apfelkuchen	40866.wav	i would like please
40867	Sag: Ich möchte mit Postkarte bezahlen	40867.wav	i would like to pay by post card
40869	Frag: mein Steak medium	40869.wav	i want my steak medium
40871	Frag: Himbeersorbet	40871.wav	i want the raspberry sorbet
40875	Frag: mein Steak rare	40875.wav	i want my steak rare
40877	Frag: Ich möchte die Rechnung	40877.wav	i want the check
40878	Sag: Ich möchte mit Visa bezahlen	40878.wav	i would like to pay with visa
40879	Frag: den Sonntagsbraten	40879.wav	i would like the sunday roast
40885	Frag: ein Steak	40885.wav	i want the steak
40887	Sag: Ich möchte mit Mastercard bezahlen	40887.wav	i would like to pay with mastercard
40888	Frag: ein Steak	40888.wav	i would like a steak
40890	Frag: Trifle	40890.wav	i want the trifle
40892	Frag: einen Hamburger	40892.wav	i want a hamburger
40893	Frag: meinen Hamburger durchgebraten	40893.wav	i want my hamburger well done
40894	Frag: einen gemischten Salat	40894.wav	i want a mixed salad
40897	Sag: Ich möchte mit Kreditkarte bezahlen	40897.wav	i would like to pay with credit card
40899	Sag: Ich möchte um 18 Uhr morgen abreisen	40899.wav	i would like to leave tomorrow at six pm
40900	Sag: Ich bin aus England	40900.wav	i am from england
40902	Sag: Ich heisse John	40902.wav	my name is john
40903	Frag: 2 Tickets nach London	40903.wav	i would like two tickets to london
40904	Sag: Ich bin aus der Türkei	40904.wav	i am from turkey
40905	Sag: Die Hauptstadt von der Türkei ist Ankara	40905.wav	the capital city of turkey is ankara
40906	Sag: Ich habe 1 Schwester	40906.wav	i have one sister
40908	Frag: Stiefel	40908.wav	i want boots
40909	Frag: ein Sweatshirt	40909.wav	i want the sweatshirt
40912	Sag: Dies ist zu teuer	40912.wav	this is too expensive
40913	Frag: Stiefel	40913.wav	i want a
40914	Frag: ein Ticket zum Piccadilly Circus	40914.wav	i would like a ticket to the piccadilly circus
40917	Frag: Welcher Bus fährt dorthin?	40917.wav	which bus goes there
40918	Frag: Wo ist die Tate Modern?	40918.wav	where is the tate modern
40920	Frag: Welcher Bus fährt dorthin?	40920.wav	which bus bus goes there
40922	Frag: Welcher Bus fährt dorthin?	40922.wav	which bus goes there
40923	Sag: Saint Pauls Cathedral ist nahe der Bank of England	40923.wav	saint pauls cathedral is near the bank of england
40924	Sag: Marble Arch ist gegenüber dem Hyde Park	40924.wav	marble arch is opposite hyde park
40926	Frag: ein Ticket für Wicked	40926.wav	a ticket for wicked
40927	Sag: Ich möchte in der Mitte sitzen	40927.wav	i want to sit in the middle
40928	Frag: Tickets für das Naturhistorische Museum	40928.wav	i would like a ticket for the national museum
40929	Frag: 2 Tickets	40929.wav	two tickets
40930	Frag: 2 Tickets	40930.wav	how much is lisbon
40931	Sag: Ich möchte heute Abend gehen	40931.wav	i would like to go tonight
40932	Sag: Ich möchte in der siebten Reihe sitzen	40932.wav	i would like to sit in the seventh line
40934	Frag: 3 Musical-Tickets	40934.wav	three musical tickets
40939	Frag: Wo ist der Zoo?	40939.wav	where is the zoo
40942	Frag: Welcher Bus fährt dorthin?	40942.wav	which bus goes there
40943	Frag: Wo ist das Naturhistorische Museum?	40943.wav	where is the natural history museum
40944	Frag: 4 Tickets nach London	40944.wav	i would like four tickets to london
40945	Sag: Ich möchte am Montagmorgen abreisen	40945.wav	i would like to leave on monday morning
40946	Sag: Ich bin aus Portugal	40946.wav	i am from portugal
40949	Sag: Ich bin aus Australien	40949.wav	i am from australia
40952	Frag: ein T-Shirt	40952.wav	i want sweatshirt
40954	Frag: Stiefel	40954.wav	i want boots
40955	Frag: Grösse 42	40955.wav	i am a forty two
40957	Frag: eine S	40957.wav	i am a small
40958	Frag: Wie viel kostet die Hose?	40958.wav	how much does it cost
40959	Sag: Dies ist zu teuer	40959.wav	this is too expensive
40960	Frag: Zimmer für 7 Nächte	40960.wav	i would like to stay for seven nights
40961	Frag: Twinzimmer	40961.wav	i would like to have a twin room
40964	Frag: Zimmer für 1 Woche	40964.wav	i would like pay one week
40966	Frag: Wo ist das Fitnessstudio?	40966.wav	where is the fitness studio
40967	Frag: Einzelzimmer	40967.wav	i would like a single room
40969	Frag: Wo ist der Lebensmittelladen?	40969.wav	where is the grocery store
40971	Sag: Ich möchte um 17 Uhr morgen abreisen	40971.wav	i would like to leave tomorrow at five p m
40973	Frag: 2 Tickets nach London	40973.wav	i would like two tickets to london
40974	Sag: Ich möchte um 21 Uhr morgen abreisen	40974.wav	i would like to leave twenty tehran tomorrow
40975	Sag: Ich heisse James	40975.wav	my name is james
40976	Frag: 2 Tickets nach London	40976.wav	i would like to have two tickets to london
40977	Sag: Ich heisse Paul	40977.wav	my name is paul
40978	Frag: Zimmer für 3 Nächte	40978.wav	i would like to stay three nights
40979	Frag: Suite	40979.wav	i would like a suite
40981	Frag: Zimmer für 1 Woche	40981.wav	i would like the steak one week
40982	Sag: Ich möchte mit Kreditkarte bezahlen	40982.wav	i would like to pay with credit card
40984	Frag: Zimmer für 5 Nächte	40984.wav	i would like the steak five nights
40986	Frag: Wo ist der Lift?	40986.wav	where is the lift
