Id,RecResult
25,i don't have a reservation
26,i don't have a reservation
43,a room for two nights
44,yes
48,i have no reservation
51,my name is silvia
52,i'm from switzerland
53,the
54,the capital from switzerland is bern
55,i have four brothers
56,i go into holidays o'clock in the holidays
57,there is my passport
58,a ticket to nothing hill
59,a ticket to notting hill
60,i need a ticket to notting hill
61,i want pay with visa
62,i would like pay with visa
63,i would like pay with dollars
64,i want pay with dollars
65,i will buy john
66,i want a room for five nights please
68,a single room
69,a single room please
70,i want pay with the post card
71,i want pay with post card
72,i would like to pay by post card
73,is there a hotel restaurant
74,where is the hotel restaurant
76,i would like one ticket please
77,i would like a steak
78,i would like five to i would like my steak blue
118,i need a hotel room for seven nights
119,i need a junior suite
120,i want pay with credit card
121,i want pay with post card
122,i want to pay with post card
123,is there a grocery store
124,i don't have any reservation
125,i don't have any reservation i i i i don't have any reservation
126,no i do not have a reservation
132,i don't have a reservation
133,no i don't have a reservation
134,i want a room for one week
135,i would like a double room
136,carbonated hotel
137,i don't have a reservation
138,i don't have a reservation
139,i don't have a reservation
142,a room for two nights
143,single room
144,i want to pay with mastercard
145,i want to pay with dollars
146,i want to pay with dollars
147,can i pay with dollars
148,is there a grocery store
149,can i have a ticket to london
150,five tickets to london
151,can i have five tickets to london
152,i would like five buy with visa
153,i would like to leave on friday morning
154,my name is nick
155,my nationality is jack
156,i come from from spain
157,my name is paolo
158,i came from america
160,i would like a ticket to
161,could you give me a ticket to westminster
162,i pay with credit card
163,can i pay by credit card
165,i would like tickets for tuesday night
166,i would like tickets for thursday evening
167,i would like tickets for tuesday night
168,i want four tickets for starlight express
169,i want sit in the eighth row
170,i would like sit in the eighth row
171,can i also have tickets for the london eye
172,one ticket please
173,i would like one ticket
174,i would like a coffee
175,i would like a steak
176,i would like to newly my steak blue
177,i would like my steak blue
178,could i have some green
179,i want a dessert card
180,the dessert menu please
181,i would like the lemon card
182,i would like the check
183,i want to pay with visa
184,can i pay with visa
216,for seven nights
217,a room for seven nights
218,a single room
219,i would pay with mastercard
220,i would i would pay with mastercard
221,can i pay with mastercard
222,is there a swimming pool
223,where is the swimming pool
224,six tickets to london
225,i would leave at sunday afternoon
226,i want to go at sunday afternoon
227,i want my name is silvia
228,my name is silvia
229,i am from germany
231,i don't have a reservation
232,i do not have a reservation
234,could i have a ticket to the trafalgar square
4306,room thank you
4307,i from austria
4308,a single room
4309,a single room
4310,i would like a junior suite
4311,i would like a junior suite
4312,i need a ticket for mamma mia
4313,is there a hotel restaurant
4314,one room for one musician
4315,a room for four nights
4316,a twin zimmer
4317,i am from switzerland
4318,like a twin room please
4319,i would like to pay by mastercard
4320,are there isn't
4321,i would like to pay with euro
4322,a room for five nights please
4323,room rome room
4324,a single room
4325,a single room please
4326,a room for three nights
4327,i like
4328,i want to
4329,i would like go
4330,i want four tickets
4331,i
4332,a
4333,i suite
4334,a
4335,i'm good
4336,a ticket to piccadilly circus
4337,i will have a hairdryer circus
4338,i would like a hamburger
4340,i want a hairdryer
4341,i want pay mastercard saturday bathroom post i i want the steak australian pay switzer a little bit toilet oxford tower three lift blue steak wiggle saint market tuesday ramadan is science i want a grocer thirty-seven america the mastercard i want a little ticket a ticket for jewelers pay for capital tickets for today at toilet rooster i want a room mastercard
4342,a room for five nights
4343,have you got a room for five nights
4344,a twin room please
4345,a twin room please
4346,a single room please
4347,can i pay with the credit card
4348,is there a hotel restaurant
4349,credit
4351,a tickets to london
4352,can i have three tickets to london
4353,have three tickets to london
4354,go at tuesday evening
4355,i would like to leave on tuesday evening
4356,i would like to leave on tuesday evening
4357,my name is michelle
4358,i'm from austria
4359,my name is erica
4360,i'm from austria
4361,the capital of austria is vienna
4362,capital of austria is vienna
4363,i have four older brothers
4364,i go in holidays
4365,i am on holiday
80,i have no reservation
81,i have no reservation
82,no i don't have a reservation
83,no i row roast have a reservation
84,a room for four nights
85,i want a room for four nights
86,junior suite
87,can i pay with credit card
88,is there a swimming pool
89,where is the swimming pool
90,four tickets to london
91,i want to leave at eight o'clock tomorrow
92,i want to leave at eight o'clock tomorrow
93,i want to leave at eight o'clock tomorrow
94,my name is jack
96,my name is barbara
97,i am from england what i am from england
98,i want a ticket to piccadilly circus
99,i don't have a reservation
100,no i do not have a reservation
101,i would like a room for seven nights
102,a suite
103,i would pay with the credit card
104,is there a hotel restaurant
105,where is the hotel restaurant
106,my bathroom is dirty
107,where is the hairdryer
108,where can i buy a hairdryer
109,four tickets to london please
110,i would i want i want leave at two pm
111,i want to leave at two o'clock
112,my name is patrick
113,i am from england
114,five tickets to london
115,i want to leave at thursday afternoon
116,my name is paula paolo
117,i'm from canada
127,i have a reservation
128,no i do not have a reservation
129,i want a room for four nights
130,a single room please
187,i don't have a reservation
191,germany isn't mushroom
238,i would like to stay for six nights
239,a double room please
240,i would like to pay with the credit card
241,do you have a hotel bar
242,i would like to have two tickets to london
243,can i have two tickets to london please
244,i would like to leave tomorrow
245,my name is andy
246,i am from england
247,i am from england
248,i coming from england
249,my name is michelle
250,i'm from ireland
251,can i have a ticket to the green park please
252,can i pay with the credit card please
253,i would like to pay with swiss francs
254,can i have two tickets for the musical
255,can i have two musical tickets
256,i would like to go tomorrow
257,i would like to have two tickets for starlight express
258,two tickets for starlight express
259,i would like to sit in the seventh row
260,do you have tickets for the national gallery
261,one ticket please
262,one ticket
263,one ticket
264,i would like to have a cola
265,i would like to leave a hamburger
266,i would like my hamburger rare
267,i would like my hamburger soup
268,i would like to have a mixed salad
269,can i have the dessert card
270,can i have the dessert card
271,can i have the card
272,where is the tate modern
273,where is the oxford street
274,which bus drives there
275,this is near of the bank of england
276,i'm fine
277,i would like to have boots
278,do you have boots
279,i would like brown boots
280,thirty seven
281,do you have a t-shirt
282,i would like to have a t-shirt
283,i would like a brown t-shirt
284,big
285,large
286,how much cost this
287,how much cost costed
288,the t-shirt is too expensive
289,my name is patrick
290,i'm from germany
291,the capital city of germany is berlin
292,i have two sisters
293,i go into the holidays
294,this is my passport
295,this is my pass
296,this is my pass
297,a room for five nights
298,twin room
299,i would with mastercard
300,i want buy with mastercard
301,i would buy with post card
302,i'm dessert a hotel restaurant
303,is there a hotel restaurant
304,yes i have a oh i no i have no reservation
305,i don't have a reservation
306,no i don't have a reservation
307,a room for five nights
308,twin room
309,i would like a double room
310,i would buy with
312,i would like to pay with post card
314,is there a fitness studio
315,where is the zoo where is the fitness studio where where trafalgar where where is the fitness studio
316,i want two tickets to london
317,i would like two tickets
318,i would like two tickets to london
319,i would like to leave tomorrow
320,i'm thomas
321,my name is thomas
322,i am from scotland
323,can i have a room for three nights
324,can i have one room
325,a single room please
326,i want to pay with mastercard please
327,can i pay by mastercard
328,is there a swimming pool
329,i would like three tickets to london
330,i want to leave at three pm tomorrow
331,i am janet
332,my name is janet
333,i am from turkey
334,i want a room for five nights
335,a single room please
336,i want to pay with visa
337,can i pay with visa
338,is there a swimming pool
339,where is it
340,i don't have a reservation
341,no i do not have a reservation
342,i want to stay for four nights
343,i want a room for four nights
344,i want a suite please
345,can i pay by mastercard
346,i want pay with euros
347,can i pay with euros
348,is there a lift
349,i'm fine
350,i want some boots
351,i want to have brown boots
367,no i do not have a reservation
368,i want a room for seven nights
369,a twin room please
370,can i pay with mastercard
371,is there a grocery store
372,where is the grocery store
373,no i do not have a reservation
374,no i do not have a reservation
375,i want a room for seven nights
376,a room for four nights
377,a room for four nights
378,a room for four nights
379,i want a suite
380,a suite
381,i want a suite
382,i want to pay with mastercard
383,i want to pay with mastercard
384,can i pay with mastercard
385,do you have a lift
386,i want a ticket to the green four
387,i need a ticket to green park
388,can i pay with credit card
389,i want pay with dollars
390,i'm fine
391,i'm good
392,i would like the bill
393,i would like brown sandals
394,i'd like brown sandals
395,i want thirty dollars
396,i am a thirty-seven
397,i want a thirty dollars
398,i haven't reservation
399,no i haven't a reservation
400,no i do not have a reservation
401,room for four nights
402,susan
403,a twin room
404,i would room my blue boots
405,i need to go
406,can i pay by blue boots
407,is there a hotel pool
408,i would like a room for two nights
409,i would like a single room
410,can i pay with post card
412,i would like pay by post card
413,is there a grocery store
415,no i haven't a reservation
416,i would like a room for two nights
417,i would like a double room
418,i would like to pay by credit card
419,is there a grocery room
420,where is the grocery store
421,my room is dirty
422,one room the sandals some boots
423,there is no shampoo in the room
424,where can i buy shampoo
425,a room for seven nights
426,at nights room for seven nights
427,a twin room
428,i would like to pay by credit card
429,is there a hotel bar
430,where is the hotel room
431,i would like a room for five nights
432,i would like a double room
433,i would like to pay by credit card
434,is there a grocery pool
435,i would like a room for six nights
436,i would like a suite
437,i'd like a suite
438,a tea
439,i would like to pay by visa
440,is there a hotel restaurant
441,i would like a room for one room
442,i'd like a twin zimmer
443,i would pay by post card
444,can i pay by post card
446,is there a swimming pool
447,where is the swimming pool
448,my room is dirty
449,there is no shower museum room
450,in the room is no shampoo in
451,there is no shampoo in museum room
452,no i haven't a reservation
453,i would like a room for five nights
454,i would like a double room
455,i want to pay by credit card
456,i would like to pay by credit card
457,i want to pay by euro
458,i'd like to pay by room room
459,can i pay with euro
460,is there a hairdresser
461,where is the hairdresser
462,i'd like a room for three nights
464,i would like a junior suite
465,i'd like to pay by mastercard
466,can i pay with swiss francs
467,is there a swimming pool
468,where is the swimming pool
469,a ticket to westminster
470,i'd like to pay by visa
471,can i pay by visa
472,i would like to pay by visa
473,can i pay by dollars
474,i'd like a ticket to westminster
475,i'd like a ticket to westminster
476,i'd like to pay by post card
477,can i pay by swiss francs
479,i'd like a ticket to the green park
480,can i pay by post card
481,can i pay with pounds
482,i only have large notes
483,i pay with credit card
484,can i pay with credit card
485,i like a ticket to westminster
486,i would like a ticket to westminster
487,i'd like to pay by credit card
488,can i pay with euro
489,i wish to pay with euro
490,can i pay with euro
492,i'd like a ticket to the junior jeans
493,i'd like a ticket to the room
494,i'd like to pay by credit card
495,i would like to pay by credit card
496,can i pay by credit card
497,my room hairdryer afternoon
498,i pay by credit card
499,i pay with credit card
500,i pay by credit card
501,i have one musical ticket
502,i'd like a ticket for sunday evening
503,a ticket for mamma mia
504,i want one ticket for mamma mia
505,i would like to sit in the seven row
506,i'd like tickets for the london eye
507,i need four tickets
508,i'm fine
509,i want boots
510,i'd like room
511,i would like some boots
512,can i buy room
513,i am a forty two
514,i would like some jeans
515,i'm looking for jeans
516,i'd like green jeans
517,boots
518,i'm from portugal
519,a shirt
520,this is too small
521,i do not want these jeans
522,i do not want these jeans
524,no i do not want this
525,i'd like a ticket to london
526,i'd like to leave at twelve o'clock a m
527,my name is mona
528,i am from ireland
529,i'd like three tickets to london
530,i like to leave at sunday morning
531,i would like to leave on saturday morning
532,my name is maddalena
533,i am from france
534,i'm from switzerland
535,i'd like six tickets to london
536,i'd like to leave on ah tuesday
537,my name is andrew
538,i'm from german
539,i'd like a ticket to london
540,i would like to leave on thursday morning
541,my name is barbara
542,i'm from australia
543,i'm from austria
544,i'd like four tickets to london
545,i want buy on thursday afternoon
546,i want to leave on thursday afternoon
547,my name is barbara
548,my name is barbara
549,i am is barbara
550,i'm from france
551,i'd like a ticket to london
552,i want to leave on thursday afternoon
553,my name is nick
554,i'm from ireland
555,i'd like five tickets to london
556,i'd like to leave on thursday afternoon
557,how much does it cost
558,three tickets
559,have three tickets
560,three tickets
561,my name is nick
562,i'm from france
563,i am from france
564,i'd like six tickets to london
565,i want to leave on friday morning
566,my name is jack
567,i am from australia
568,i'd like a ticket to london
569,i want to leave on monday afternoon ah
570,my name is michelle
571,i'm from portugal
572,i'd like four tickets to london
573,i want to leave on thursday afternoon
574,my name is paul
575,i'm from turkey
576,i am from italy
577,my name is patrick
578,i am from america
579,my name is barbara
580,my name is sarah
581,my name is sarah
582,i am from france
583,i am from france
584,i'm from france
585,i have four brothers
586,i go on vacation
587,i go to the holiday
589,this is my passport
590,this is my passport
591,yes it is my passport
592,i'd like a ticket to the piccadilly circus
593,i'd like to pay by credit card
594,i like to pay by credit card
595,i would like brown boots
596,i would like want notes
597,i would like a boots
598,i would like the sunday roast
599,i would like the sunday morning
600,i would like the sunday roast
601,i would like my sunday roast well done
602,i would like the master
603,i would like a afternoon
604,i would like goulash mushrooms
605,the dessert menu
606,the apple pie evening
607,i'd like the bill
608,i'd like to pay by mastercard
609,i'd like a orange juice
610,i'd like a suite
611,i want a suite
612,i want a suite
613,i would like my steak well done
614,i would like some carrots
615,this is not my
616,this is not what i ordered
617,i'd like the dessert menu
618,the dessert menu
619,the dessert menu
620,i would like blue sandals
621,i would like a still water
622,i like i'd like the sunday roast
623,i would like my sunday roast card
624,i would like my sunday roast well done
625,i'd like a single room
626,the dessert menu
627,i would like brown pants
628,i'd like the bill
629,i'd like to pay by mastercard
630,i'd like to pay by mastercard
631,can i pay by mastercard
632,i'd like brown boots
633,i would like the sunday roast
634,i would like my sunday roast rare
635,i'd like a goulash room
636,i'd like a goulash soup
637,the dessert menu
638,could i have the vanilla ice cream
639,i'd like the bill
640,i'd like to pay by credit card
641,i haven't for monday afternoon
642,i am looking for the natural history museum
643,where is the oxford street
644,where is oxford street
645,where is oxford street
646,which bus goes there
647,the tower is near tower bridge
648,i'm fine
649,i'd like some boots
650,i'd like ah blue sandals
651,room evening
652,i am a thirty nights
653,i'd like sunday jeans
654,i'm looking for bar
655,red boots
656,small
657,how much the gym
658,that's too expensive
659,i'm fine
660,i'd like some sunday roast
661,red sandals
662,i would forty two
663,i am a forty two
664,forty two
665,i am looking for trousers
666,i'd like brown
667,i'd like brown
668,i'm from
669,i'd like brown sandals
670,white sandals
671,i'm morning
672,forty
673,forty
674,i'd like dollars
675,the tower
676,i am from germany
677,i'm fine
678,i'd like some boots
679,one room please
680,forty two
681,i am forty two
682,i am forty two
683,i'd like suites
684,i'd like some suites
685,i'd like brown pants
686,i'm fine
687,i'd like some boots
688,like junior suite
689,i am a thirty nine
690,i want jeans
691,i want turkey
692,i want for museum
693,small
694,that's too small
695,i don't want this
696,i don't want this
697,i do not want this
698,i do not want ah
700,i do not want
701,i'd like a lemonade
702,i would like the sunday roast
703,i'd like the sunday roast
704,i would like a sunday roast
705,i would like my sunday roast well done
706,i want my sunday roast cooked through
707,i would like the soup of the day
708,the dessert menu please
709,i would like the dessert card
710,the dessert menu please
711,i'd like a coffee
712,i'd like the sunday roast
713,i would like the sunday roast
714,i would like the sunday roast
715,i want my sunday roast medium
716,i want suite
717,the dessert menu please
718,i want the chocolate ice cream
719,i'd like the bill
720,i'd like to pay by post card
721,i'd like a still water
722,i'd like the steak
723,i want my steak medium
724,i want french fries
725,i want french fries
726,i'd like french fries
727,this is not what i order
728,the dessert menu please
729,i would like the lemon cake
730,i'd like the bill
731,i'd like to pay by post card
732,i'd like a coke
733,i want the steak
734,i want my steak medium
735,i want some garlic bread
736,this is not what i ordered pants are a
737,the dessert menu please
738,i want the custard tart
739,i'd like the bill
740,i'd like to pay by post card
741,i'd like a coffee
742,i'd like the sunday roast
743,i want my sunday roast rare
744,i want carrots
745,the dessert menu please
746,i want the raspberry sorbet
747,i'd like the bill
748,i want to pay by post card
749,i'd like to pay by mastercard
750,i want an orange juice
751,i'd like the sunday roast
752,i want my sunday roast rare
753,i want a suite
754,i want please
755,i'd like a tea
756,this is not what i order
757,the dessert menu please
758,i want a twin trifle
759,i want the bill
760,i'd like to pay by credit card
761,where is the tate modern
762,where is the tower
763,where is the tower
764,where is the tower
765,saint pauls cathedral is near tower of the bank of england
766,where is the science museum
767,where is the london eye
768,which bus goes there
769,the tower is near tower bridge
770,i want to go
771,i want to go
772,sorry i need to go
773,i'd like a room for five nights
774,i'd like a suite
775,a suite
776,a suite
777,can i pay by post card
778,is there a hotel restaurant
779,where is the hotel restaurant
780,where is the hotel restaurant
781,where is the hotel restaurant
782,i'd like a room for two nights
783,i'd like a single room
784,i'd like to pay by post card
785,is there a hotel bar
786,where is the hotel bar
787,i am looking for the natural history museum
788,where is the oxford street
789,which bus goes there
790,marble arch is opposite hyde park
791,sorry i need to go
792,i'd like a room for six nights
793,i'd like a single room
794,i like to pay by visa
795,is there a grocery store
796,where is the grocery store
797,my toilet is dirty
798,there is no shampoo in my room
799,where can i buy shampoo
800,i'd like a room for two nights
801,i'd like a twin room
802,can i pay by mastercard
803,is there a grocery store
804,where is the grocery store
805,the room is dirty
806,in the room there was no hairdryer
807,in the room isn't a hairdryer
808,there isn't a hairdryer in the room
809,i'd like a room for five nights
810,i'd like a twin zimmer
811,can i pay by post card
812,is there a hotel restaurant
813,where is the hotel restaurant
814,my room is dirty
815,a room for no shower gel
816,there a shower gel in the room
817,there is a shower gel in the room
818,where can i buy shower gel notes
819,i'd like a room for two nights
820,i'd like a single room
821,can i pay by mastercard
822,i would pay by mastercard
823,can i pay by mastercard
824,is there a grocery store
825,where is the grocery store
826,no i haven't a reservation
827,i haven't a reservation
828,i have not a reservation
829,i haven't a reservation
830,no i haven't a reservation
831,i'd like a room for six nights
832,i'd like a suite
833,can i pay by credit card
834,is there a lift
835,i'd like a room for four nights
836,i'd like a suite
837,can i pay by post card
838,is there a swimming pool
839,where is the swimming pool
840,my name is andrew
841,i'm from england
842,my name is sarah
843,i'm from scotland
844,my name is nick
845,i'm from australia
846,i'm from australian
847,my name is john
848,i'm from scotland
849,i am from scotland
850,my name is barbara
851,i am from ireland
852,my name is andrew
853,i'm from spain
854,the capital from spain is madrid
855,i have three sisters
856,i go to holidays
857,that's my passport
858,yes it is my passport
859,yes it is my passport
860,two musical tickets
861,i'd like one musical ticket
863,i'd like to go on friday evening
864,one ticket for the phantom of the opera
865,i like one ticket for the phantom of the opera
866,i want to sit in the front row
867,i want to sit in the second row
868,i'd like tickets for the london eye
869,one ticket
870,i'd like one ticket
871,where is the zoo
872,where is madame have hairdryer
873,which bus goes there
874,big ben is near bank of england
875,this is near bank of england
876,i want to go
877,i want to go
878,i want to go
879,i'm fine
880,i'd like boots
881,i'd like some boots
882,i'd like blue boots
883,i am a forty two
884,forty two
885,i am a forty two
886,i want i
887,i'd like brown jeans
889,i want like pants
890,room
891,how much cost this
892,this is too expensive
893,i'm fine
894,i boots
895,i'd like some boots
896,a single room
897,i'd like brown boots
898,i would like brown boots
899,i need thirty six
900,i am a thirty six
901,i'm from jeans
902,i would like red jeans
903,tickets
904,large
905,how much cost this
906,how much is this
907,that's too much
908,is too expensive
909,i'd like a ticket to the piccadilly circus
910,i need a ticket to the piccadilly circus
911,can i pay with mastercard
912,i'd like to pay by mastercard
913,ticket to pay by swiss francs
914,can i pay by swiss franc
915,a room for large notes
916,where is the a t m
917,i'd like a lemonade
918,i'd like a lemonade
919,i would like the steak
920,i'm nights the steak
921,i'd like the steak
922,i'd like my steak blue
923,i'd like a scotch row
924,the dessert card please
925,i'd like the dessert card please
926,i would like the dessert card please
927,nights orange juice
928,i'd like a orange juice
929,i'd like the steak
930,i'd like the steak
931,i'd like a steak
932,i want my steak well done
933,i'm fine red boots
934,i want a room for six nights
935,where is not that what i ordered
936,that is not what i ordered
937,have not that what i ordered
938,no i haven't a reservation
939,i'd like a room for one week
940,i'd like a suite
941,i can tuesday
942,a suite
943,i'd like to pay by mastercard
944,there want portugal
945,is there a hairdresser
946,where is the hairdresser
947,my room is dirty
948,where is the hairdryer
949,i'd like a room for six nights
950,single room
951,i'd like a single room
952,i'd like to pay by credit card
953,is there a lift
954,no i haven't a reservation
955,no i haven't a reservation
956,i haven't a reservation
957,i haven't a reservation
958,i haven't a reservation
959,no i haven't a reservation
960,i want a room for two nights
961,i would like a twin room
962,i'd like to pay by credit card
963,is there a hotel restaurant
964,where is the hotel restaurant
965,i haven't a reservation
966,can i haven't a reservation
967,no i haven't a reservation
968,i'd like a room for six nights
969,a double room
970,i'd like a double room
971,i'd like a double room
972,can i pay by post card
973,is there a fitness studio
974,where is the fitness studio
975,i'd like four tickets to london
976,i'd like four tickets to london
977,i want to leave at thursday morning
978,my name is stephanie
979,i am from australia
980,i would like five tickets to london
981,i want to leave next visa
982,i want to leave next week
983,my name is mona
984,i'm from please
985,i'd like three tickets to london
986,i want to leave at twelve o'clock a m
987,my name is paolo
988,i'm from australia
989,two tickets to london
990,i would like two tickets to london
991,i want to leave at thursday afternoon
992,i want to leave at tuesday afternoon
993,my name is erica
994,i'm from turkey
995,i'd like two tickets to london
996,i like to leave on thursday evening
997,i want to leave at thursday evening
998,my name is mona
999,i am from scotland
1000,i'd like a ticket to the green park
1001,can i pay by credit card
1002,i'd like a ticket to notting hill
1003,i'd like a ticket to notting hill
1004,can i pay by visa
1005,i'd like to pay by visa
1006,i'd like to pay by visa
1007,i'd like a ticket to the green park
1008,i'd like to pay by mastercard
1009,i'd like a ticket to the trafalgar square
1010,i'd like a ticket to trafalgar square
1011,i'd like to pay by mastercard
1012,i'd like to pay by euro
1013,can i pay with euro
1014,i'd like to pay with euro
1015,i like two musical tickets
1016,i'd like two musical tickets
1017,i want to go at sunday evening
1018,i'd like two tickets for the nine boots
1019,i want two tickets to london
1020,i would like to leave on the boots
1021,i'd like to sit on the small
1022,i'd like tickets for the science museum
1023,i'd like four tickets
1024,i'd like four musical tickets
1025,a ticket for sunday evening
1026,i'd like a ticket for sunday evening
1027,i want four tickets for wicked
1028,i'd like four tickets for the lion king
1029,i'd like four tickets for visa
1030,i want to sit in the first row
1031,i'd like tickets for the london eye
1032,i would like two tickets
1033,i'd like two musical tickets
1034,tickets for sunday evening
1035,i'd like tickets for saturday evening
1036,i'd like two tickets for billy elliot
1037,i'd like tickets for the musical
1038,i'd like to sit in the third row
1039,i'd like tickets for the national history museum
1040,like three tickets
1041,i'd like three tickets
1042,i'd like a ticket to the musical tickets
1043,i'd like one musical ticket
1044,i'd like a ticket for saturday evening
1045,a tickets for wicked
1046,i'd like two tickets for wicked
1047,a ticket for five tickets
1048,i'd like to sit in the fourth row
1049,a ticket for the national history museum
1050,i'd like tickets for the national history museum
1051,tickets for the national history museum
1052,i'd like a orange juice
1053,i'd like the sunday roast
1054,i want my sunday roast well done
1055,i would like steak rare
1057,i would like sandals
1058,this is not that what i order
1059,i would like to speak with manager
1060,i am going for the ordered food
1061,i need a ticket for the ordered food
1062,i need three tickets for the card red boots
1063,i'd like the dessert card
1064,the dessert menu please
1065,i want the raspberry sorbet
1066,i'd like the raspberry sorbet
1067,i'd like the bill
1068,i'd like to pay by credit card
1069,i'd like a tea
1070,i'd like a tea please
1071,i'd like a tea
1072,i'd like the steak
1073,i'm fine
1074,i'd like the steak
1075,i would like my steak well done
1076,i'd like jeans
1077,i'd like pea
1078,i'd like some peas
1079,i'd like the dessert card
1080,the dessert menu please
1081,i'd like a hamburger
1082,i'd like the raspberry sorbet
1083,i'd like the bill
1084,i'd like to pay by visa
1085,i'd like a coke
1086,i'd like the sunday roast
1087,i'd like my sunday roast rare
1088,i want some mashed potato
1089,that is not that what i ordered
1090,this is not what i ordered
1091,i'd like the dessert card
1093,the dessert menu please
1094,i would like the lemon cake
1095,i'd like the bill
1096,i'd like to pay by post card
1097,i'd like a fanta
1098,i'd like the steak
1099,i'd like the steak
1100,i want the steak
1101,i'd like my steak rare
1102,i'd like the soup of the day
1103,this is not what i ordered
1104,the dessert menu please
1105,i'd like the vanilla ice cream
1106,i'd like the vanilla ice cream
1107,i'd like the bill
1108,i'd like to pay by credit card
1109,where is the national history museum
1110,where is the national history museum
1111,where is the piccadilly circus
1112,which bus goes there
1113,the tower is near tower bridge
1114,i'd like to go
1115,where is the science museum
1116,where is the london eye
1117,which bus goes there
1118,saint pauls cathedral is near bank of england
1119,i'd like to go
1120,i'd like to go
1121,where is the zoo
1122,where is madame tussauds
1123,which bus goes there
1124,it is near bank of england
1125,i'd like to go
1126,where is the tate modern
1127,where is the oxford street
1128,which bus goes there
1129,marble arch is near the hyde park
1130,marble arch is paula hyde park
1131,marble arch is opposite hyde park
1132,i'm fine
1133,i'd like sandals
1134,i'd like brown sandals
1135,i am a forty three
1136,i want a shirt
1137,i'd like a red shirt
1138,i'd like a white sweatshirt
1139,i'd like a white shirt
1140,small
1141,how much is this
1142,it is too expensive
1143,i'm fine
1144,i'd like sandals
1145,i'd like blue sandals
1146,i am a thirty seven
1147,i'd like a t-shirt
1148,i'd like a yellow tee shirt
1149,i'd like a yellow tee shirt
1150,large
1151,this is too far
1152,that's too far
1153,that's too for
1154,i'd like i don't like this t-shirt
1155,i don't want this t-shirt
1156,i don't want nights
1157,i don't want this
1158,i do not want this
1159,i'm fine
1160,i'd like sandals
1161,i'd like red sandals
1162,i am a forty-one
1163,i'd like pants
1164,i'd like green pants
1165,small
1166,how much cost this pants
1167,how much does the pants
1168,the pants is too expensive
1169,i'd like three tickets to london
1170,i want to leave on saturday afternoon
1171,my name is four nights
1172,i am from america
1173,i'd like a ticket to london
1174,i'd like to leave on sunday
1175,how much is this
1176,three tickets
1177,does the cheap tickets
1178,three tickets
1179,my name is michelle
1180,i'm from italian
1181,i'd like two tickets to london
1182,i'd like to leave at four o'clock a m
1183,my name is barbara
1184,i'm from scotland
1185,i'd like a ticket to london
1186,i'd like to leave at one o'clock a m
1187,my name is sarah
1188,my name is paul
1189,my name is barbara
1190,i'm from turkey
1191,i'd like six tickets to london
1192,i'd like to leave at eight o'clock tomorrow
1193,my name is jack
1194,my name is jack
1195,my name is janet
1196,i am from england
1197,my name is stephanie
1198,i'm from austria
1199,the capital of austria is suites
1200,i have four younger sisters
1201,i have four younger sisters
1202,i go to the holidays
1203,i go to the holidays
1204,i go on t-shirt
1205,yes that's my passport
1206,my name is james
1207,i am from austria
1208,austria isn't in africa
1209,austria isn't in africa
1210,austria is in europe
1211,the capital of austria is suite
1213,the capital of austria is the please
1214,i have one brothers
1215,i go in the holiday
1216,yes it is my passport
1217,yes it is my passport
1218,my name is andrew
1219,i'm from turkey
1220,turkey isn't elevator
1221,thirty is not africa
1222,turkey is in europe
1223,the capital of turkey is ankara
1224,i have four sisters
1225,i go in the holiday
1226,yes it is my passport
1227,i'd like a ticket to the green park
1228,i like to pay by mastercard
1229,a ticket to the green park
1230,i'd like to pay by visa
1231,i'd like a ticket to the westminster
1232,i'd like to pay with post card
1233,can i pay with euros
1234,i only have large notes
1235,i pay with credit card
1236,where is the tate modern
1237,where is the tower
1238,where is the tower
1239,where is the tower
1240,no i haven't a reservation
1241,no i haven't a reservation
1242,no i haven't a reservation
1243,i haven't a reservation
1244,i haven't a reservation
1245,my name is andrew
1246,i'm from england
1247,my name is brian
1248,i'm from portugal
1249,the capital of portugal is lisbon
1250,i have four sisters
1251,i go in the holidays
1252,yes it is my passport
1254,a room for two nights
1255,i want a room for two nights
1258,i want a suite
1259,i want pay with the credit card
1261,can i pay with credit card
1262,is there a hairdresser
1263,where is the hairdresser
1264,i don't have a reservation
1265,no i don't have a reservation
1266,no i have not a reservation
1267,i want a room for three nights
1268,i want a double room
1269,can i pay with visa
1270,is there a potato
1271,is there a grocery store
1272,a room for a room for four nights
1273,i
1274,a double room
1275,a double room
1276,i want to pay with the credit card
1277,do you have a lift
1278,where is the lift
1279,i don't have a reservation
1283,a room for five nights
1284,i don't have any reservation
1286,i do not have a reservation
1287,a room for seven nights
1288,i want a suite
1289,i want to pay with the post card
1290,i would like to pay by post card
1291,is there a hairdresser
1292,where is the hairdresser
1293,my toilet is dirty
1294,i could not find any no shower gel
1295,where can i buy shower gel
1296,my name is janet
1297,i am from england
1298,my name is jack
1299,i am from portugal
1300,the capital of portugal is lisbon
1301,i've got three younger sisters
1302,i'm going on holiday
1303,this is my passport
1304,my passport
1305,yes it is my passport
1306,my name is erica
1307,i'm from italian
1308,the capital of italian is rome
1309,i have got three older brothers
1310,i'm going in the holidays
1311,yes it is my passport
1312,i want a ticket to notting hill
1313,i pay with visa
1314,can i pay with visa
1315,i want a ticket to notting hill
1316,i would like to pay with the post card
1317,i want pay with dollars
1319,can i pay with dollars
1320,i have smaller note
