Id,RecResult,Confidence
7469,is there a grocery,0.99 0.99 0.99 0.59
7470,no i do not have a lift,0.54 0.99 0.85 0.85 0.91 0.91 0.91
7471,no i do not have a lift,0.91 1.0 0.99 1.0 1.0 1.0 0.43
7472,i want a room for one week,1.0 1.0 1.0 1.0 1.0 1.0 1.0
7473,can i have two tickets to london,1.0 1.0 1.0 0.97 1.0 0.99 1.0
7474,i want five tickets to london,1.0 1.0 1.0 1.0 0.97 0.95
7475,i want five tickets to london,1.0 1.0 1.0 1.0 0.98 0.98
7476,i would like five tickets to london,1.0 1.0 1.0 1.0 1.0 1.0 1.0
7478,my name is paolo,1.0 1.0 1.0 0.64
7479,my name is paolo,1.0 0.96 0.96 0.88
7480,my name is paolo,1.0 1.0 0.99 0.71
7481,i'm from america,0.8 1.0 1.0
7482,i would like four tickets to london,1.0 1.0 1.0 0.89 0.97 0.95 0.97
7483,i would like to leave at thursday evening,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
7484,i want to leave on tuesday evening,1.0 1.0 1.0 1.0 0.95 0.81 1.0
7485,my name is nick,1.0 1.0 1.0 0.73
7486,my name is nick,1.0 1.0 1.0 0.81
7487,i am from spain,1.0 1.0 1.0 0.99
7488,i would like six tickets to london,1.0 1.0 1.0 1.0 1.0 1.0 1.0
7489,i would like to leave at eight o'clock tomorrow,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
7490,my name is barbara,1.0 1.0 1.0 1.0
7491,i am from ireland,1.0 1.0 1.0 1.0
7492,i would like two tickets to london,1.0 1.0 1.0 1.0 1.0 1.0 1.0
7493,i would like to leave on sunday nights,1.0 1.0 1.0 1.0 1.0 0.98 0.97 0.51
7494,my name is michelle,1.0 1.0 1.0 1.0
7495,i am from france,1.0 1.0 1.0 0.95
7496,i would like five tickets to london,1.0 1.0 1.0 1.0 1.0 1.0 1.0
7497,i would like to leave at three o'clock tomorrow,1.0 1.0 1.0 1.0 1.0 1.0 0.57 1.0 1.0
7498,i want to leave at eight o'clock tomorrow,1.0 1.0 0.99 1.0 1.0 0.99 1.0 1.0
7499,i want to leave at eight o'clock tomorrow,1.0 1.0 1.0 1.0 1.0 0.95 1.0 1.0
7500,my name is silvia,0.92 0.92 0.93 0.92
7501,i am from england,1.0 1.0 1.0 0.89
7502,i would like four tickets to london,1.0 1.0 1.0 1.0 1.0 1.0 1.0
7503,i would like four tickets to london,1.0 1.0 1.0 1.0 1.0 1.0 1.0
7504,i want to leave at seven o'clock tomorrow,1.0 1.0 1.0 1.0 1.0 0.98 1.0 1.0
7506,i want to leave at seven o'clock tomorrow,1.0 1.0 1.0 1.0 1.0 0.99 1.0 1.0
7507,my name is patrick,1.0 1.0 1.0 1.0
7508,i am from ireland,1.0 1.0 1.0 1.0
7509,i would like a ticket to london,1.0 1.0 1.0 0.85 0.86 1.0 1.0
7511,how much is this,1.0 1.0 1.0 1.0
7513,i am good,1.0 0.98 0.53
7515,i will pay,0.51 0.45 0.57
7516,my name is nick,0.99 1.0 1.0 0.81
7517,my name is nick,1.0 1.0 1.0 0.87
7518,my name is nick,0.7 0.7 0.69 0.26
7519,i am from italy,1.0 0.96 1.0 1.0
7520,i would like two tickets to london,1.0 1.0 1.0 0.94 1.0 0.99 1.0
7522,i would like two tickets to london,1.0 1.0 1.0 0.39 0.79 1.0 1.0
7523,i want to leave on sunday morning,1.0 1.0 1.0 1.0 0.94 0.46 1.0
7524,my name is barbara,1.0 1.0 1.0 1.0
7525,i am from england,1.0 1.0 1.0 0.68
7526,my name is nick,1.0 0.89 0.89 0.99
7527,i am from france,0.77 0.77 1.0 1.0
7528,france is not in africa,0.87 0.99 0.99 1.0 1.0
7529,i'm from german,0.46 0.53 0.35
7530,apple pee,0.77 0.42
7531,the capital from france is paris,1.0 1.0 0.95 0.98 1.0 1.0
7532,i have four younger sisters,1.0 1.0 0.94 1.0 1.0
7533,i have two younger sisters,1.0 1.0 0.65 1.0 1.0
7534,i am going on holidays,0.62 0.6 1.0 0.99 1.0
7535,that's my passport,0.99 1.0 1.0
7536,yes it is my passport,1.0 0.95 0.95 1.0 1.0
7537,yes it is my passport,1.0 0.98 0.98 1.0 1.0
7538,my name is maddalena,0.96 0.96 0.96 0.84
7539,i'm from switzerland,0.98 1.0 1.0
7540,i am from switzerland,1.0 0.99 1.0 1.0
7541,the capital from switzerland is bern,1.0 1.0 0.97 1.0 1.0 1.0
7542,i have four older brothers,1.0 1.0 0.86 0.67 1.0
7543,i have a little i have three older brothers,1.0 1.0 0.69 0.19 0.96 0.98 0.64 0.57 1.0
7544,i have four older brothers,1.0 1.0 1.0 1.0 1.0
7545,i going on holidays,0.98 1.0 1.0 1.0
7546,yes this is my passport,1.0 0.92 1.0 1.0 1.0
7547,my name is paolo,1.0 1.0 1.0 1.0
7548,i am from scotland,1.0 1.0 1.0 1.0
7549,my name is patrick,1.0 1.0 1.0 1.0
7550,i am from america,1.0 1.0 1.0 1.0
7551,my name is maddalena,1.0 1.0 1.0 1.0
7552,i am from portugal,0.99 0.99 1.0 1.0
7553,the capital from portugal is lisbon,0.84 1.0 1.0 1.0 1.0 0.42
7554,i have two older brothers,1.0 1.0 1.0 1.0 1.0
7555,i'm going on holidays,0.82 1.0 1.0 0.99
7556,yes this is my passport,1.0 0.98 1.0 1.0 1.0
7557,my name is andrew,1.0 1.0 1.0 1.0
7558,i am from australia,1.0 1.0 1.0 0.87
7559,my name is brian,1.0 1.0 1.0 1.0
7560,i am from england,1.0 1.0 1.0 0.87
7561,my name is brian,1.0 1.0 1.0 1.0
7562,i'm from italy,0.83 1.0 1.0
7563,the capital from italy is rome,1.0 1.0 1.0 1.0 1.0 1.0
7566,can i pay with mastercard,1.0 1.0 1.0 0.92 0.99
7567,i am,0.78 0.71
7568,is there a gym,1.0 1.0 1.0 1.0
7569,no i do not have a reservation,1.0 1.0 1.0 1.0 1.0 0.99 1.0
7570,i want a room for two nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0
7571,a twin room please,0.99 0.99 1.0 1.0
7573,i want a room for six nights,1.0 1.0 1.0 1.0 1.0 0.62 1.0
7574,i want to boots,1.0 0.77 0.45 0.51
7575,can i pay with visa,0.97 0.98 1.0 1.0 1.0
7576,do you have a lift,1.0 1.0 1.0 0.97 0.93
7577,where is the lift,0.51 0.53 0.49 0.49
7578,i would like jeans,1.0 1.0 1.0 0.83
7579,i want to pay with,1.0 1.0 0.56 0.55 0.57
7580,i want boots,1.0 1.0 0.94
7581,i would like my steak well done,1.0 1.0 1.0 1.0 1.0 1.0 1.0
7582,i would like some boots,1.0 1.0 1.0 0.95 0.87
7583,the dessert menu please,1.0 1.0 1.0 1.0
7584,i would like the scones,1.0 1.0 1.0 0.71 0.7
7585,i would like boots,1.0 1.0 1.0 0.94
7586,i would like boots,1.0 1.0 1.0 0.99
7587,i would like to pay by post card,1.0 1.0 1.0 1.0 1.0 1.0 0.97 0.97
7588,i would like a still water,1.0 1.0 1.0 1.0 1.0 1.0
7589,i want a steak,1.0 1.0 0.51 0.91
7590,i would like my steak medium,1.0 1.0 1.0 1.0 1.0 1.0
7591,i would like a room for two nights,1.0 1.0 1.0 0.58 0.51 0.51 0.39 0.5
7592,i would like the soup of the day,1.0 1.0 1.0 0.85 0.85 0.85 0.84 0.81
7593,i would like the soup of the day,1.0 1.0 1.0 0.94 0.94 0.94 0.84 0.2
7594,this is not what i ordered,0.4 0.97 1.0 1.0 1.0 0.78
7595,the dessert menu please,1.0 1.0 1.0 1.0
7596,the dessert menu please,1.0 1.0 1.0 1.0
7597,i would like the chocolate menu please,1.0 1.0 1.0 0.93 0.53 0.35 0.45
7598,i would like two tickets,1.0 1.0 1.0 0.79 0.83
7599,i want blue i would like to pay by post card,1.0 1.0 0.42 1.0 1.0 1.0 1.0 1.0 1.0 0.6 0.61
7600,i would like to pay by post card,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
7601,i'm looking for the national gallery,0.6 1.0 1.0 0.83 1.0 1.0
7602,i want two nights,0.73 0.61 0.34 1.0
7603,switzerland nights,0.64 0.76
7604,which bus goes there,1.0 1.0 1.0 1.0
7605,the tower is near tower bridge,1.0 1.0 1.0 1.0 1.0 1.0
7606,i boots,0.59 0.99
7607,i boots,0.35 0.45
7608,i'm looking for sandals,0.75 1.0 1.0 1.0
7609,do you have white sandals,1.0 1.0 1.0 1.0 1.0
7610,i am from france,1.0 0.98 0.67 0.31
7611,i am from boots,0.95 0.86 0.62 0.23
7612,i am looking for looking for jeans,0.99 0.55 0.56 0.66 1.0 1.0 1.0
7613,brown jeans,0.28 0.66
7614,i am a small,0.99 0.57 0.55 0.55
7615,how much does it cost,1.0 1.0 1.0 1.0 1.0
7616,please too expensive,0.31 0.94 1.0
7617,i would like to buy four musical tickets,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
7618,i want four tickets for monday nights,1.0 1.0 1.0 1.0 1.0 0.99 0.89
7619,i want four tickets for starlight express,1.0 1.0 1.0 1.0 1.0 1.0 1.0
7620,i want to sit in the eight row,1.0 1.0 1.0 0.99 0.99 0.99 0.67 0.99
7622,can i have two tickets,1.0 1.0 1.0 0.98 1.0
7623,could you give me a ticket to westminster,0.51 0.98 0.98 0.98 1.0 1.0 0.92 0.92
7624,can i pay with visa,1.0 1.0 1.0 1.0 1.0
7625,can i pay with visa,1.0 1.0 1.0 1.0 1.0
7626,can i pay with pounds,1.0 1.0 1.0 1.0 0.99
7628,my name is maddalena,1.0 1.0 1.0 0.9
7629,i am from portugal,1.0 1.0 1.0 1.0
7630,the capital of portugal is nick,1.0 1.0 1.0 1.0 1.0 0.92
7631,i have two brothers,1.0 1.0 1.0 1.0
7632,i am going on holidays,1.0 1.0 0.98 1.0 1.0
7633,yes it is my passport,1.0 0.99 0.99 1.0 1.0
7634,i want a room for seven nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0
7635,i want a suite,1.0 1.0 0.99 0.99
7636,can i pay by credit card,1.0 1.0 1.0 0.84 0.95 0.89
7637,is there a grocery store,1.0 1.0 1.0 1.0 1.0
7638,i would like a suite,1.0 1.0 1.0 0.99 0.86
7639,i would like a tea,1.0 1.0 1.0 1.0 0.59
7640,i want to pay,1.0 1.0 0.68 0.7
7641,i would like my steak blue,1.0 1.0 1.0 0.97 0.95 0.89
7642,can i have mashed potato,1.0 1.0 1.0 0.98 0.6
7643,i don't have a reservation,1.0 1.0 1.0 1.0 1.0
7644,i don't have a reservation,1.0 1.0 1.0 1.0 1.0
7645,i don't have a reservation,1.0 1.0 1.0 1.0 1.0
7646,i haven't a reservation,1.0 0.72 0.72 1.0
7647,i haven't a reservation,1.0 0.91 0.91 1.0
7648,i am boots,0.99 0.99 0.57
7649,i don't have a reservation,1.0 0.96 0.96 0.96 1.0
7651,i would like a suite,1.0 1.0 1.0 0.96 0.96
7652,i want a jeans,0.96 0.77 0.52 0.38
7653,i would like a jeans,1.0 1.0 1.0 0.63 0.66
7654,i want a suite,1.0 1.0 0.91 0.77
7655,i would like my steak rare,1.0 1.0 1.0 1.0 1.0 1.0
7656,i would like some jeans,1.0 1.0 1.0 0.89 0.98
7657,this is not what i ordered,0.84 0.94 1.0 0.99 1.0 1.0
7658,the dessert menu please,1.0 1.0 1.0 1.0
7659,the dessert menu please,1.0 1.0 1.0 1.0
7661,i would like a coffee,1.0 1.0 1.0 0.93 0.81
7662,i would like a hamburger,1.0 1.0 1.0 0.99 1.0
7663,i would like my hamburger well done,1.0 1.0 1.0 1.0 1.0 1.0 1.0
7664,i'd like a water please,0.58 0.83 0.89 0.37 1.0
7665,i am fine,0.98 0.97 0.43
7666,i have a ticket for two nights,0.86 0.97 1.0 1.0 0.96 0.62 0.62
7667,the dessert menu please,1.0 1.0 1.0 1.0
7668,i am fine,1.0 0.8 0.57
7669,i would like the rhubarb pie,1.0 1.0 1.0 0.48 0.48 0.36
7670,i would like a room for six nights,1.0 1.0 1.0 0.92 0.92 0.92 0.39 0.91
7671,i would like a tickets,1.0 1.0 1.0 0.44 0.3
7672,can i pay with mastercard,1.0 1.0 1.0 0.99 0.91
7673,i want an orange juice,1.0 1.0 0.66 0.85 0.84
7674,i want a steak,1.0 1.0 0.73 0.98
7675,i want my steak well done,1.0 1.0 1.0 1.0 0.57 0.56
7676,i am from,0.99 0.97 0.56
7677,i am fine,1.0 0.99 0.9
7678,i want on sunday evening,1.0 0.99 0.35 0.43 0.73
7679,am nights,0.46 0.5
7680,this is not what i ordered,0.83 1.0 1.0 1.0 1.0 0.98
7681,the dessert menu please,1.0 0.99 1.0 0.9
7682,i want the dessert menu please,1.0 1.0 0.93 0.83 0.84 0.93
7683,that's monday evening,0.25 0.48 0.59
7684,i would like the check,1.0 1.0 1.0 0.75 0.75
7685,i would like to pay by post card,1.0 1.0 1.0 1.0 1.0 1.0 0.97 0.99
7688,i want sandals,1.0 0.95 0.65
7689,i would like a hamburger,1.0 1.0 1.0 0.65 0.54
7690,i am,1.0 0.98
7691,i would like a large,1.0 1.0 1.0 0.35 0.72
7692,i want a room for two nights,1.0 1.0 0.8 0.85 0.71 0.32 0.4
7693,can i have the soup of the day,1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.97
7694,the dessert menu please,1.0 1.0 1.0 1.0
7695,i would like the raspberry sorbet,1.0 1.0 1.0 1.0 1.0 1.0
7697,i want to pay with mastercard,1.0 1.0 1.0 1.0 1.0 1.0
7698,i want a carbonated water,1.0 1.0 1.0 1.0 1.0
7699,i want a carbonated water,1.0 1.0 1.0 1.0 1.0
7700,i want a room for five nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0
7701,can i have a suite,1.0 1.0 1.0 1.0 0.99
7702,i want to pay with visa,1.0 1.0 1.0 1.0 1.0 1.0
7703,i want to pay with swiss francs,1.0 1.0 1.0 1.0 1.0 0.99 1.0
7704,i want to pay with swiss francs,1.0 1.0 1.0 1.0 1.0 1.0 1.0
7705,i want to pay with swiss francs,1.0 1.0 1.0 1.0 0.99 1.0 1.0
7706,is there a hairdresser,1.0 1.0 1.0 1.0
7707,where is the hairdresser,1.0 1.0 1.0 1.0
7708,i haven't a reservation,1.0 0.82 0.88 1.0
7710,i don't have a reservation,1.0 1.0 1.0 1.0 1.0
7711,i have no reservation,1.0 1.0 1.0 1.0
7712,i have no reservation,1.0 1.0 1.0 1.0
7713,i don't have a reservation,1.0 1.0 1.0 1.0 1.0
7714,i don't have a reservation,1.0 1.0 1.0 1.0 1.0
7715,i am i no have a reservation,1.0 0.88 1.0 0.99 1.0 1.0 1.0
7716,i have no reservation,1.0 0.61 0.61 1.0
7717,i don't have a reservation,1.0 1.0 1.0 1.0 1.0
7718,i am good,0.95 0.95 0.65
7719,i would like some boots,1.0 1.0 1.0 1.0 1.0
7720,red boots please,0.99 0.78 0.99
7721,i am a thirty seven,1.0 1.0 1.0 1.0 1.0
7722,i want a shirt,1.0 1.0 0.99 1.0
7723,i want shirt please,1.0 1.0 0.99 1.0
7724,i am a small,1.0 1.0 0.99 0.99
7725,this is too big,1.0 1.0 1.0 1.0
7726,i do not want this shirt,1.0 1.0 1.0 1.0 1.0 0.83
7727,no i do not want this,1.0 1.0 1.0 1.0 1.0 0.97
7728,i am good,0.93 0.93 1.0
7729,i am looking for sandals,0.91 0.91 1.0 1.0 1.0
7730,do you have white sandals,1.0 1.0 1.0 0.98 0.99
7731,i am a forty suite,1.0 1.0 0.99 1.0 0.89
7732,i am looking for jeans,0.83 0.83 1.0 1.0 1.0
7733,junior suite,0.5 0.58
7734,i am a small,1.0 1.0 0.99 1.0
7735,how much does the jeans jeans cost,1.0 1.0 1.0 1.0 1.0 1.0 0.83
7736,is too expensive,0.95 1.0 1.0
7737,i'm good,0.82 0.96
7738,i am looking for sandals,0.99 0.99 1.0 1.0 1.0
7741,i am looking for sweatshirt,1.0 1.0 1.0 1.0 0.87
7742,can i have a brown t-shirt,1.0 1.0 1.0 0.67 0.31 0.9
7744,how much cost it,1.0 1.0 0.64 0.23
7746,i'm good,0.78 1.0
7747,i am looking for boots,0.95 0.95 1.0 1.0 1.0
7748,can i have white boots,1.0 1.0 1.0 0.99 1.0
7749,i am a thirty seven,1.0 1.0 0.99 1.0 1.0
7750,i am looking for jeans,0.72 0.72 1.0 1.0 1.0
7751,can i have a white jeans,1.0 1.0 1.0 0.78 0.62 0.84
7752,i am a small,1.0 1.0 1.0 1.0
7753,it is too small,0.78 1.0 1.0 1.0
7754,i don't want this jeans,1.0 1.0 1.0 0.8 1.0
7755,i do not want this jeans,0.99 0.8 0.86 1.0 0.6 1.0
7756,i don't want holidays,1.0 1.0 0.31 0.6
7757,i don't want this,1.0 1.0 1.0 0.97
7758,i'm good,0.75 1.0
7759,i am looking for boots,1.0 1.0 1.0 1.0 0.93
7760,can i have white boots,1.0 1.0 1.0 0.93 0.93
7761,i am a forty one,1.0 1.0 0.9 0.82 0.79
7762,can i have a shirt,1.0 1.0 1.0 0.96 0.94
7763,four tickets to london,0.99 1.0 1.0 1.0
7764,i want to leave at nine o'clock tomorrow,1.0 1.0 1.0 1.0 1.0 0.99 1.0 1.0
7765,my name is paul,1.0 1.0 1.0 0.77
7766,my name is paul,1.0 1.0 1.0 0.98
7767,i'm from scotland,0.82 1.0 1.0
7768,a room for seven nights,1.0 1.0 1.0 1.0 1.0
7769,a double room,1.0 1.0 1.0
7770,double room,1.0 1.0
7771,double room,1.0 1.0
7772,can i pay with visa,1.0 1.0 1.0 1.0 1.0
7774,can i pay with euros,1.0 1.0 1.0 1.0 0.94
7776,is there a hairdresser,1.0 1.0 1.0 1.0
7778,no i do not have a reservation,1.0 1.0 1.0 1.0 1.0 1.0 1.0
7779,a room for two nights,1.0 1.0 1.0 0.79 1.0
7780,a room for two nights,1.0 1.0 1.0 0.63 1.0
7781,i would like a room for three nights,1.0 1.0 1.0 0.99 1.0 1.0 1.0 1.0
7782,i would like a double room,1.0 1.0 1.0 1.0 1.0 1.0
7783,i want pay with post card,1.0 1.0 1.0 1.0 0.95 0.95
7784,i would like to pay by post card,1.0 1.0 1.0 0.99 1.0 1.0 1.0 1.0
7785,i would like pay by post card,1.0 1.0 1.0 1.0 1.0 0.99 0.99
7786,is there a swimming pool,1.0 1.0 1.0 1.0 1.0
7787,where is the swimming pool,1.0 1.0 1.0 1.0 1.0
7788,i would like a room for three nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
7789,i'd like a room for three nights,0.84 1.0 1.0 1.0 1.0 0.96 1.0
7790,i'd like a junior suite,0.99 1.0 1.0 1.0 1.0
7791,i would like pay by mastercard,1.0 1.0 1.0 1.0 1.0 0.98
7792,is there a hotel bar,1.0 1.0 1.0 1.0 1.0
7793,where is the hotel bar,1.0 1.0 1.0 1.0 1.0
7794,my room is dirty,1.0 1.0 1.0 1.0
7795,in the room there isn't a hairdryer,1.0 1.0 1.0 1.0 1.0 1.0 1.0
7796,i could not find any hairdryer,1.0 0.97 1.0 1.0 1.0 1.0
7797,where can i buy portray,1.0 1.0 1.0 0.97 0.5
7798,where can i buy a hairdryer,1.0 1.0 1.0 1.0 1.0 1.0
7799,where can i buy a hairdryer,1.0 1.0 1.0 1.0 1.0 1.0
7800,i would like a room for one week,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
7801,i would like a double room,1.0 1.0 1.0 1.0 1.0 1.0
7803,is there a hairdresser,0.99 0.97 0.98 1.0
7804,where is the hairdresser,1.0 1.0 1.0 1.0
7805,where is the hairdresser,1.0 1.0 1.0 1.0
7806,i don't have a reservation,1.0 1.0 1.0 1.0 1.0
7807,i have not a reservation,1.0 1.0 1.0 1.0 1.0
7808,i would like a room for four nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
7809,i would like a suite,1.0 1.0 1.0 1.0 1.0
7810,i would like pay by mastercard,1.0 1.0 1.0 1.0 1.0 0.99
7811,i would like pay by mastercard,1.0 1.0 1.0 1.0 1.0 0.98
7812,is there a swimming pool,1.0 1.0 1.0 0.99 0.99
7813,is there a supermarket,1.0 1.0 0.94 1.0
7814,is there a supermarket,1.0 1.0 0.98 1.0
7815,i have not a reservation,1.0 1.0 1.0 1.0 1.0
7816,i have not a reservation,1.0 1.0 1.0 1.0 1.0
7817,i haven't got a reservation,1.0 1.0 1.0 1.0 1.0
7819,i have not a reservation,1.0 1.0 1.0 1.0 1.0
7820,i don't have a reservation,1.0 1.0 1.0 1.0 1.0
7821,i have not a reservation,1.0 1.0 1.0 1.0 1.0
7822,i have not a reservation,1.0 1.0 1.0 1.0 1.0
7823,i would like a room for three nights,1.0 1.0 1.0 1.0 1.0 1.0 0.86 1.0
7824,i would like a double room,1.0 1.0 1.0 1.0 1.0 1.0
7825,i would like pay by card,1.0 1.0 1.0 1.0 0.99 0.91
7826,i would like pay by mastercard,1.0 1.0 1.0 1.0 1.0 0.98
7827,is there a lift,1.0 1.0 1.0 1.0
7828,where is the lift,1.0 1.0 1.0 1.0
7829,i have not a reservation,1.0 1.0 1.0 1.0 1.0
7830,i have not a reservation,1.0 1.0 1.0 1.0 1.0
7831,i have not a reservation,1.0 1.0 0.93 0.92 1.0
7832,i have not a reservation,1.0 1.0 1.0 1.0 1.0
7833,i have not a reservation,1.0 1.0 1.0 1.0 1.0
7834,i have no reservation,1.0 1.0 0.96 1.0
7835,i would like one musical ticket,1.0 1.0 1.0 0.98 1.0 1.0
7836,i would like one musical ticket,1.0 1.0 1.0 1.0 1.0 0.99
7837,i would like tickets for wednesday evening,1.0 1.0 1.0 0.99 1.0 1.0 1.0
7838,i would like one ticket for the phantom the german,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.71 0.24
7839,i would like sit in the eight street,1.0 1.0 1.0 0.99 0.91 0.92 0.49 0.13
7840,i want to sit in the eighth row,1.0 1.0 1.0 1.0 1.0 1.0 0.71 1.0
7841,i would like tickets for madame tussauds,1.0 1.0 1.0 1.0 1.0 1.0 1.0
7842,i would like four tickets,1.0 1.0 1.0 1.0 1.0
7843,i would like one musical ticket,1.0 1.0 1.0 1.0 1.0 0.91
7844,i would like one ticket for tuesday evening,1.0 1.0 1.0 0.99 0.99 1.0 1.0 1.0
7845,i would like one ticket for the phantom brokered,1.0 1.0 1.0 0.95 0.95 1.0 1.0 1.0 0.51
7846,i want to sit in the ninth row,1.0 1.0 1.0 1.0 1.0 1.0 0.87 1.0
7847,i would like to sit in the ninth row,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
7848,i would like tickets for the national gallery,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
7849,i would like one ticket,1.0 1.0 1.0 1.0 1.0
7850,i would like two musical tickets,1.0 1.0 1.0 0.74 1.0 0.71
7851,i would like three musical tickets,1.0 1.0 1.0 1.0 1.0 0.97
7852,i would like to go on monday evening,1.0 1.0 1.0 0.95 1.0 1.0 1.0 1.0
7853,i would like three tickets for king the lion,1.0 1.0 1.0 0.93 1.0 1.0 0.92 0.73 0.68
7854,i would like three tickets for two nights,1.0 1.0 1.0 1.0 1.0 0.99 0.92 0.92
7856,i want to sit in the second row,1.0 1.0 1.0 1.0 0.63 0.66 0.97 1.0
7857,i would like to sit in the second brothers,1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.99 0.86
7858,i would like tickets for the national gallery,1.0 1.0 1.0 0.97 1.0 1.0 1.0 1.0
7859,i would like tickets for the national gallery,1.0 1.0 1.0 0.87 1.0 1.0 1.0 1.0
7860,i would like two tickets,1.0 1.0 1.0 1.0 1.0
7861,i would like three tickets to london,1.0 1.0 1.0 1.0 1.0 1.0 1.0
7862,i would like to leave on tuesday,1.0 1.0 1.0 1.0 1.0 1.0 1.0
7863,my name is james,1.0 1.0 1.0 1.0
7864,i'm from france,0.87 1.0 0.99
7865,i would like three tickets to london,1.0 1.0 1.0 1.0 1.0 1.0 1.0
7866,i would like to leave tomorrow on seven o'clock,1.0 1.0 1.0 1.0 1.0 1.0 0.57 0.82 1.0
7867,my name is andrew,1.0 1.0 1.0 0.6
7868,i'm from spain,0.89 1.0 1.0
7869,i would like six tickets to london,1.0 1.0 1.0 1.0 1.0 1.0 1.0
7870,i would like to leave next week,1.0 1.0 1.0 0.94 1.0 1.0 1.0
7871,how much is it,1.0 1.0 0.98 0.92
7872,how much cost,1.0 1.0 0.97
7873,how much does it cost,1.0 1.0 1.0 1.0 0.94
7876,this is okay,1.0 1.0 1.0
7877,my name is maddalena,1.0 1.0 1.0 1.0
7878,i'm from switzerland,0.92 1.0 1.0
7879,i would like four tickets to london,1.0 1.0 1.0 0.69 0.72 1.0 1.0
7880,i would like to leave on sunday afternoon,1.0 1.0 1.0 0.91 1.0 1.0 0.99 0.58
7881,my name is thomas,1.0 1.0 1.0 0.48
7882,i'm from germany,0.89 1.0 0.67
7883,i would like two tickets to london,1.0 1.0 1.0 1.0 1.0 1.0 1.0
7884,i would like to leave on saturday evening,1.0 1.0 1.0 0.94 1.0 1.0 1.0 1.0
7885,my name is paolo,1.0 1.0 1.0 0.93
7886,i'm from scotland,0.86 1.0 1.0
7887,i would like six tickets to london,1.0 1.0 1.0 1.0 1.0 1.0 1.0
7888,i would like to leave on tuesday,1.0 1.0 1.0 0.88 1.0 1.0 1.0
7889,my name is patrick,1.0 1.0 1.0 1.0
7890,i'm from switzerland,0.91 1.0 1.0
7891,i would like four tickets to london,1.0 1.0 1.0 1.0 1.0 1.0 1.0
7892,i would like to leave on friday,1.0 1.0 1.0 0.95 1.0 1.0 1.0
7893,my name is patrick,1.0 1.0 1.0 1.0
7894,i'm from switzerland,0.9 1.0 1.0
7895,i would like six tickets to london,1.0 1.0 1.0 1.0 1.0 1.0 1.0
7897,my name is maddalena,1.0 1.0 1.0 1.0
7898,i'm from italy,0.92 1.0 1.0
7899,i would like four tickets to london,1.0 1.0 1.0 0.9 1.0 1.0 1.0
7900,i would like to leave on thursday morning,1.0 1.0 1.0 0.97 1.0 1.0 1.0 1.0
7901,how much does it cost,1.0 1.0 1.0 0.92 0.65
7903,this is okay,0.78 0.79 0.74
7904,my name is maddalena,1.0 1.0 1.0 1.0
7905,i'm from austria,0.93 1.0 0.75
7906,i would like three tickets to london,1.0 1.0 1.0 1.0 1.0 1.0 1.0
7907,i would like to leave on sunday evening,1.0 1.0 1.0 0.9 1.0 1.0 1.0 1.0
7908,my name is stephanie,1.0 1.0 1.0 1.0
7909,i'm from portugal,0.72 1.0 1.0
7910,i would like a sparkling water,1.0 1.0 1.0 1.0 1.0 1.0
7911,i would like the sunday roast,1.0 1.0 1.0 0.97 1.0 1.0
7912,i would like my sunday roast rare,1.0 1.0 1.0 1.0 1.0 1.0 0.94
7913,i would like a junior suite,1.0 1.0 1.0 1.0 0.91 0.91
7914,i would like a goulash soup,1.0 1.0 1.0 1.0 1.0 1.0
7915,i would like a i would like the dessert card,1.0 1.0 1.0 0.87 1.0 1.0 1.0 1.0 0.99 1.0
7916,the dessert menu,1.0 0.99 1.0
7917,i would like the dessert card,1.0 1.0 1.0 0.95 0.94 0.94
7918,i would like a mastercard,1.0 1.0 1.0 0.72 0.91
7919,i would like the bill,1.0 1.0 1.0 1.0 1.0
7920,i would like the check,1.0 1.0 1.0 0.98 0.98
7921,i would like pay with mastercard,1.0 1.0 1.0 1.0 1.0 0.99
7922,i would like a water with forty,1.0 1.0 1.0 0.92 1.0 0.64 0.9
7923,i would like a still water,1.0 1.0 1.0 1.0 1.0 1.0
7924,i would like the sunday roast,1.0 1.0 1.0 0.99 1.0 1.0
7925,i would like my sunday roast rare,1.0 1.0 1.0 1.0 1.0 1.0 0.7
7926,i would like a musical switzerland,1.0 1.0 1.0 0.94 0.3 0.3
7927,this is not what i ordered,1.0 1.0 1.0 1.0 1.0 0.88
7929,the dessert menu,1.0 0.99 1.0
